camera_timestamp,radar_timestamp,closest_radar_timestamp,tokens
1900-01-01 15:28:22.595914,1900-01-01 15:28:21.749122,15:28:22.579523,148220
1900-01-01 15:28:22.655775,1900-01-01 15:28:21.778574,15:28:22.660691,770602
1900-01-01 15:28:22.697466,1900-01-01 15:28:21.819218,15:28:22.691549,890156
1900-01-01 15:28:22.746147,1900-01-01 15:28:21.858775,15:28:22.739807,269574
1900-01-01 15:28:22.799401,1900-01-01 15:28:21.900525,15:28:22.809810,117969
1900-01-01 15:28:22.856479,1900-01-01 15:28:21.942896,15:28:22.849287,225489
1900-01-01 15:28:22.896760,1900-01-01 15:28:21.979414,15:28:22.889755,988835
1900-01-01 15:28:22.950557,1900-01-01 15:28:22.009399,15:28:22.959662,132114
1900-01-01 15:28:22.997994,1900-01-01 15:28:22.050009,15:28:22.999125,755964
1900-01-01 15:28:23.052845,1900-01-01 15:28:22.089100,15:28:23.041091,722819
1900-01-01 15:28:23.102659,1900-01-01 15:28:22.129335,15:28:23.119594,848469
1900-01-01 15:28:23.150762,1900-01-01 15:28:22.158630,15:28:23.149881,415843
1900-01-01 15:28:23.197081,1900-01-01 15:28:22.199533,15:28:23.190308,454081
1900-01-01 15:28:23.248124,1900-01-01 15:28:22.239146,15:28:23.259697,939561
1900-01-01 15:28:23.299977,1900-01-01 15:28:22.279849,15:28:23.299343,536115
1900-01-01 15:28:23.353730,1900-01-01 15:28:22.322890,15:28:23.343661,313768
1900-01-01 15:28:23.398580,1900-01-01 15:28:22.359450,15:28:23.379382,209652
1900-01-01 15:28:23.449640,1900-01-01 15:28:22.389148,15:28:23.448827,216709
1900-01-01 15:28:23.499404,1900-01-01 15:28:22.429557,15:28:23.499857,906181
1900-01-01 15:28:23.549067,1900-01-01 15:28:22.469011,15:28:23.529551,163609
1900-01-01 15:28:23.603293,1900-01-01 15:28:22.509277,15:28:23.608840,728961
1900-01-01 15:28:23.650850,1900-01-01 15:28:22.539241,15:28:23.649577,738334
1900-01-01 15:28:23.703767,1900-01-01 15:28:22.579523,15:28:23.719821,274533
1900-01-01 15:28:23.750082,1900-01-01 15:28:22.619005,15:28:23.759144,857638
1900-01-01 15:28:23.798409,1900-01-01 15:28:22.660691,15:28:23.800939,226457
1900-01-01 15:28:23.849420,1900-01-01 15:28:22.691549,15:28:23.831090,982370
1900-01-01 15:28:23.896263,1900-01-01 15:28:22.739807,15:28:23.880067,594561
1900-01-01 15:28:23.947264,1900-01-01 15:28:22.778896,15:28:23.950493,893237
1900-01-01 15:28:23.999424,1900-01-01 15:28:22.809810,15:28:23.991481,396988
1900-01-01 15:28:24.046825,1900-01-01 15:28:22.849287,15:28:24.029936,331372
1900-01-01 15:28:24.098018,1900-01-01 15:28:22.889755,15:28:24.102223,310554
1900-01-01 15:28:24.150865,1900-01-01 15:28:22.919595,15:28:24.139891,214434
1900-01-01 15:28:24.197327,1900-01-01 15:28:22.959662,15:28:24.182151,963604
1900-01-01 15:28:24.257347,1900-01-01 15:28:22.999125,15:28:24.260144,899052
1900-01-01 15:28:24.302365,1900-01-01 15:28:23.041091,15:28:24.299657,508215
1900-01-01 15:28:24.354233,1900-01-01 15:28:23.068549,15:28:24.369538,773837
1900-01-01 15:28:24.400406,1900-01-01 15:28:23.119594,15:28:24.409882,711077
1900-01-01 15:28:24.447658,1900-01-01 15:28:23.149881,15:28:24.440592,507016
1900-01-01 15:28:24.498248,1900-01-01 15:28:23.190308,15:28:24.480206,953063
1900-01-01 15:28:24.552026,1900-01-01 15:28:23.230833,15:28:24.560913,530081
1900-01-01 15:28:24.603357,1900-01-01 15:28:23.259697,15:28:24.594135,268781
1900-01-01 15:28:24.645797,1900-01-01 15:28:23.299343,15:28:24.640258,313430
1900-01-01 15:28:24.702935,1900-01-01 15:28:23.343661,15:28:24.710013,852149
1900-01-01 15:28:24.747991,1900-01-01 15:28:23.379382,15:28:24.750070,211059
1900-01-01 15:28:24.800462,1900-01-01 15:28:23.420104,15:28:24.791713,281955
1900-01-01 15:28:24.847979,1900-01-01 15:28:23.448827,15:28:24.860173,578589
1900-01-01 15:28:24.897527,1900-01-01 15:28:23.499857,15:28:24.900136,187385
1900-01-01 15:28:24.948129,1900-01-01 15:28:23.529551,15:28:24.940539,259943
1900-01-01 15:28:25.000166,1900-01-01 15:28:23.569854,15:28:25.020196,663458
1900-01-01 15:28:25.047158,1900-01-01 15:28:23.608840,15:28:25.049706,146427
1900-01-01 15:28:25.098086,1900-01-01 15:28:23.649577,15:28:25.090495,975174
1900-01-01 15:28:25.150007,1900-01-01 15:28:23.679358,15:28:25.170080,356058
1900-01-01 15:28:25.197910,1900-01-01 15:28:23.719821,15:28:25.199937,280781
1900-01-01 15:28:25.245708,1900-01-01 15:28:23.759144,15:28:25.240599,999114
1900-01-01 15:28:25.300430,1900-01-01 15:28:23.800939,15:28:25.320651,797693
1900-01-01 15:28:25.348467,1900-01-01 15:28:23.831090,15:28:25.349631,737985
1900-01-01 15:28:25.401656,1900-01-01 15:28:23.880067,15:28:25.405305,490858
1900-01-01 15:28:25.450666,1900-01-01 15:28:23.919204,15:28:25.470393,263616
1900-01-01 15:28:25.499664,1900-01-01 15:28:23.950493,15:28:25.509428,621218
1900-01-01 15:28:25.552173,1900-01-01 15:28:23.991481,15:28:25.551784,585072
1900-01-01 15:28:25.598851,1900-01-01 15:28:24.029936,15:28:25.579613,417462
1900-01-01 15:28:25.653378,1900-01-01 15:28:24.069159,15:28:25.660000,571461
1900-01-01 15:28:25.699170,1900-01-01 15:28:24.102223,15:28:25.701560,770070
1900-01-01 15:28:25.748589,1900-01-01 15:28:24.139891,15:28:25.729353,421114
1900-01-01 15:28:25.801828,1900-01-01 15:28:24.182151,15:28:25.820155,982684
1900-01-01 15:28:25.847996,1900-01-01 15:28:24.219385,15:28:25.850483,462913
1900-01-01 15:28:25.898354,1900-01-01 15:28:24.260144,15:28:25.891487,610590
1900-01-01 15:28:25.950006,1900-01-01 15:28:24.299657,15:28:25.959534,449609
1900-01-01 15:28:26.000096,1900-01-01 15:28:24.330617,15:28:26.003495,187704
1900-01-01 15:28:26.048552,1900-01-01 15:28:24.369538,15:28:26.040242,367266
1900-01-01 15:28:26.106535,1900-01-01 15:28:24.409882,15:28:26.109398,256801
1900-01-01 15:28:26.147768,1900-01-01 15:28:24.440592,15:28:26.160596,564539
1900-01-01 15:28:26.197886,1900-01-01 15:28:24.480206,15:28:26.190132,248183
1900-01-01 15:28:26.249679,1900-01-01 15:28:24.519650,15:28:26.230763,211849
1900-01-01 15:28:26.298272,1900-01-01 15:28:24.560913,15:28:26.310576,128274
1900-01-01 15:28:26.348546,1900-01-01 15:28:24.594135,15:28:26.339853,640912
1900-01-01 15:28:26.426263,1900-01-01 15:28:24.640258,15:28:26.420660,409910
1900-01-01 15:28:26.453387,1900-01-01 15:28:24.670541,15:28:26.461434,223046
1900-01-01 15:28:26.499435,1900-01-01 15:28:24.710013,15:28:26.490065,956189
1900-01-01 15:28:26.546302,1900-01-01 15:28:24.750070,15:28:26.541293,542303
1900-01-01 15:28:26.605824,1900-01-01 15:28:24.791713,15:28:26.610825,320601
1900-01-01 15:28:26.649407,1900-01-01 15:28:24.819757,15:28:26.650466,639517
1900-01-01 15:28:26.696294,1900-01-01 15:28:24.860173,15:28:26.690825,727431
1900-01-01 15:28:26.750115,1900-01-01 15:28:24.900136,15:28:26.760844,441421
1900-01-01 15:28:26.798969,1900-01-01 15:28:24.940539,15:28:26.800589,472106
1900-01-01 15:28:26.848020,1900-01-01 15:28:24.969316,15:28:26.841600,947500
1900-01-01 15:28:26.901239,1900-01-01 15:28:25.020196,15:28:26.920826,758086
1900-01-01 15:28:26.944997,1900-01-01 15:28:25.049706,15:28:26.950979,477608
1900-01-01 15:28:27.004964,1900-01-01 15:28:25.090495,15:28:26.991483,793152
1900-01-01 15:28:27.050048,1900-01-01 15:28:25.129763,15:28:27.030380,345321
1900-01-01 15:28:27.098570,1900-01-01 15:28:25.170080,15:28:27.100046,727595
1900-01-01 15:28:27.145211,1900-01-01 15:28:25.199937,15:28:27.141228,129437
1900-01-01 15:28:27.199188,1900-01-01 15:28:25.240599,15:28:27.180534,980053
1900-01-01 15:28:27.247144,1900-01-01 15:28:25.279692,15:28:27.249920,471608
1900-01-01 15:28:27.300504,1900-01-01 15:28:25.320651,15:28:27.301110,207635
1900-01-01 15:28:27.349037,1900-01-01 15:28:25.349631,15:28:27.330685,371020
1900-01-01 15:28:27.401814,1900-01-01 15:28:25.405305,15:28:27.410303,672158
1900-01-01 15:28:27.449944,1900-01-01 15:28:25.430232,15:28:27.451118,633461
1900-01-01 15:28:27.499824,1900-01-01 15:28:25.470393,15:28:27.480541,773305
1900-01-01 15:28:27.549927,1900-01-01 15:28:25.509428,15:28:27.560561,762257
